epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        11, 1106.124,    0.001,         0.032222,       8.2524e-05,        0.0044028,         0.036707,        0.974,         1.98,       0.0684,          0.1,        0.556,        0.733,         0.026144,       6.0648e-05,        0.0052379,         0.031442,        0.864,         1.76,       0.0571,       0.0861,        0.619,        0.801
        12, 1205.803,    0.001,         0.031694,       7.5457e-05,        0.0038015,         0.035571,        0.958,         1.97,        0.065,        0.096,         0.52,        0.681,         0.027831,       8.3004e-05,        0.0041676,         0.032082,        0.886,         1.83,       0.0693,        0.101,        0.556,        0.714
        13, 1305.354,    0.001,         0.031097,       7.7616e-05,        0.0034721,         0.034646,        0.943,         1.95,       0.0661,       0.0973,        0.498,        0.651,         0.026188,        7.732e-05,        0.0069428,         0.033208,        0.851,         1.77,       0.0666,       0.0972,        0.788,        0.923
        14, 1404.796,    0.001,         0.030366,       7.5343e-05,        0.0032466,         0.033688,        0.919,         1.93,       0.0648,       0.0959,        0.481,         0.63,         0.026152,       7.4886e-05,        0.0014604,         0.027687,        0.864,         1.77,       0.0648,       0.0957,        0.319,        0.423
        15, 1504.302,    0.001,         0.030086,       7.8267e-05,        0.0030063,          0.03317,        0.916,         1.92,       0.0663,       0.0977,        0.464,        0.606,         0.027791,       5.8237e-05,        0.0064156,         0.034265,        0.859,         1.82,       0.0561,       0.0844,        0.756,        0.885
        16, 1603.728,    0.001,         0.029931,       7.5373e-05,        0.0030391,         0.033045,        0.911,         1.91,       0.0648,       0.0959,        0.464,        0.609,         0.026258,       0.00010009,        0.0029969,         0.029355,        0.893,         1.77,       0.0773,        0.111,        0.498,        0.606
        17, 1702.980,    0.001,         0.029705,       7.7891e-05,        0.0025694,         0.032352,        0.906,          1.9,       0.0658,       0.0975,        0.425,         0.56,         0.026925,        8.329e-05,        0.0017235,         0.028732,        0.882,          1.8,       0.0681,        0.101,        0.361,         0.46
        18, 1801.846,    0.001,         0.029677,       8.1556e-05,        0.0023608,          0.03212,        0.904,          1.9,       0.0676,       0.0998,        0.416,        0.537,         0.026337,       7.8278e-05,         0.002164,         0.028579,        0.827,         1.78,       0.0659,       0.0979,        0.401,        0.515
        19, 1900.860,    0.001,         0.029259,       8.2469e-05,        0.0024708,         0.031812,        0.894,         1.89,       0.0671,          0.1,         0.42,        0.549,         0.026702,       8.5307e-05,        0.0024518,         0.029239,         0.88,         1.78,       0.0657,        0.102,        0.411,        0.548
        20, 1999.662,    0.001,         0.029296,       8.7789e-05,        0.0022623,         0.031646,        0.894,         1.89,       0.0693,        0.104,        0.402,        0.526,          0.02693,        0.0001154,         0.001458,         0.028503,         0.87,          1.8,       0.0786,        0.119,        0.322,        0.422
